ExperimentName,Subject,Session,Clock.Information,Display.RefreshRate,Group,RandomSeed,SessionDate,SessionTime,SessionTimeUtc,Block,Filename,FileText,Noise,Procedure,Running,Slide1.RESP,Slide1.RT,Slide1.RTTime,StimList,StimList.Cycle,StimList.Sample
SPIN,1007,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-08-12T14:41:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">187726490858</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-08-12T14:41:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.005,1,-1251497764,08-12-2017,09:41:10,2:41:10 PM,1,A181002_SSN.wav,The JANITOR USED a BROOM.   ,SSN,TypeSPINProc,StimList,the{SPACE}janitor{SPACE}used{SPACE}febreez{INSERT}{INSERT}e{ESCAPE},15137,941133,34,1,1
SPIN,1007,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-08-12T14:41:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">187726490858</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-08-12T14:41:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.005,1,-1251497764,08-12-2017,09:41:10,2:41:10 PM,2,A181512_1T.wav,The DAUGHTER SET the TABLE.   ,1T,TypeSPINProc,StimList,he{SPACE}had{SPACE}apple{SPACE}pie{SPACE}rain{SPACE}falls{SPACE}from{ESCAPE},12075,955020,60,1,2
SPIN,1007,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-08-12T14:41:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">187726490858</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-08-12T14:41:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.005,1,-1251497764,08-12-2017,09:41:10,2:41:10 PM,3,A180709_2T.wav,The BUS LEFT EARLY.   ,2Talker,TypeSPINProc,StimList,{SHIFT}Monday{SPACE}is{SPACE}the{SPACE}first{SPACE}day{SPACE}of{SPACE}the{SPACE}week{ESCAPE},10337,966731,9,1,3
SPIN,1007,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-08-12T14:41:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">187726490858</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-08-12T14:41:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.005,1,-1251497764,08-12-2017,09:41:10,2:41:10 PM,4,A180910_8T.wav,THEY WENT on a VACATION.   ,SSN,TypeSPINProc,StimList,they{SPACE}went{SPACE}on{SPACE}vacation{ESCAPE},8674,977834,26,1,4
SPIN,1007,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-08-12T14:41:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">187726490858</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-08-12T14:41:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.005,1,-1251497764,08-12-2017,09:41:10,2:41:10 PM,5,A181509_1T.wav,THEY MET SOME FRIENDS.   ,1T,TypeSPINProc,StimList,his{SPACE}mother{SPACE}and{SPACE}father{ESCAPE},8237,986930,57,1,5
SPIN,1007,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-08-12T14:41:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">187726490858</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-08-12T14:41:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.005,1,-1251497764,08-12-2017,09:41:10,2:41:10 PM,6,A181009_SSN.wav,The MAILMAN BROUGHT a LETTER.   ,SSN,TypeSPINProc,StimList,the{SPACE}mailman{SPACE}brought{SPACE}a{SPACE}letter{ESCAPE},7873,995449,41,1,6
SPIN,1007,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-08-12T14:41:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">187726490858</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-08-12T14:41:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.005,1,-1251497764,08-12-2017,09:41:10,2:41:10 PM,7,A181015_SSN.wav,The BUCKETS HOLD WATER.   ,SSN,TypeSPINProc,StimList,buckets{SPACE}full{SPACE}of{SPACE}water{ESCAPE},7887,1004129,47,1,7
SPIN,1007,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-08-12T14:41:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">187726490858</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-08-12T14:41:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.005,1,-1251497764,08-12-2017,09:41:10,2:41:10 PM,8,A181004_SSN.wav,The GOOD BOY is HELPING.   ,SSN,TypeSPINProc,StimList,the{SPACE}good{SPACE}boy{ESCAPE},5231,1010272,36,1,8
SPIN,1007,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-08-12T14:41:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">187726490858</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-08-12T14:41:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.005,1,-1251497764,08-12-2017,09:41:10,2:41:10 PM,9,A181007_SSN.wav,The DOG JUMPED ON the CHAIR.   ,SSN,TypeSPINProc,StimList,the{SPACE}dog{SPACE}jumped{SPACE}on{SPACE}the{SPACE}chair{ESCAPE},7068,1017776,39,1,9
SPIN,1007,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-08-12T14:41:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">187726490858</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-08-12T14:41:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.005,1,-1251497764,08-12-2017,09:41:10,2:41:10 PM,10,A181516_1T.wav,The PUPPY PLAYS with a BALL.   ,1T,TypeSPINProc,StimList,the{SPACE}war{SPACE}plane{SPACE}dropped{SPACE}the{SPACE}bomb{SPACE}the{SPACE}color{ESCAPE},10458,1028615,64,1,10
