ExperimentName,Subject,Session,Clock.Information,Display.RefreshRate,Group,RandomSeed,SessionDate,SessionTime,SessionTimeUtc,Block,Filename,FileText,Noise,Procedure,Running,Slide1.RESP,Slide1.RT,Slide1.RTTime,StimList,StimList.Cycle,StimList.Sample
SPIN,2012,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-21T21:42:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923125</Frequency><Timestamp dt:dt=""r8"">1123711002102</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-21T21:42:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,-1569858379,06-21-2017,16:42:23,9:42:23 PM,1,A180908_8T.wav,HE LISTENED TO his FATHER.   ,SSN,TypeSPINProc,StimList,you{SPACE}listen{SPACE}to{ESCAPE},15501,100210,24,1,1
SPIN,2012,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-21T21:42:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923125</Frequency><Timestamp dt:dt=""r8"">1123711002102</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-21T21:42:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,-1569858379,06-21-2017,16:42:23,9:42:23 PM,2,A181010_SSN.wav,THEY are RIDING their BICYCLES.   ,SSN,TypeSPINProc,StimList,{SHIFT}They{SPACE}are{SPACE}writing{SPACE}the{SPACE}recipes{ESCAPE},14463,116889,42,1,2
SPIN,2012,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-21T21:42:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923125</Frequency><Timestamp dt:dt=""r8"">1123711002102</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-21T21:42:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,-1569858379,06-21-2017,16:42:23,9:42:23 PM,3,A181511_1T.wav,The TINY BABY was PRETTY.   ,1T,TypeSPINProc,StimList,{SHIFT}Bob{'}s{SPACE}baby{SPACE}is{SPACE}on{SPACE}the{SPACE}left{ESCAPE},20541,138248,59,1,3
SPIN,2012,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-21T21:42:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923125</Frequency><Timestamp dt:dt=""r8"">1123711002102</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-21T21:42:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,-1569858379,06-21-2017,16:42:23,9:42:23 PM,4,A181515_1T.wav,The TRAIN STOPS at the STATION.   ,1T,TypeSPINProc,StimList,{SHIFT}The{SPACE}train{SPACE}stops{SPACE}at{SPACE}the{SPACE}station{ESCAPE},17838,157198,63,1,4
SPIN,2012,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-21T21:42:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923125</Frequency><Timestamp dt:dt=""r8"">1123711002102</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-21T21:42:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,-1569858379,06-21-2017,16:42:23,9:42:23 PM,5,A180709_2T.wav,The BUS LEFT EARLY.   ,2Talker,TypeSPINProc,StimList,{SHIFT}The{SPACE}box{SPACE}left{SPACE}the{ESCAPE},12887,170781,9,1,5
SPIN,2012,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-21T21:42:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923125</Frequency><Timestamp dt:dt=""r8"">1123711002102</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-21T21:42:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,-1569858379,06-21-2017,16:42:23,9:42:23 PM,6,A181002_SSN.wav,The JANITOR USED a BROOM.   ,SSN,TypeSPINProc,StimList,{SHIFT}Calendar{SPACE}is{SPACE}the{SPACE}rule{ESCAPE},21200,192940,34,1,6
SPIN,2012,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-21T21:42:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923125</Frequency><Timestamp dt:dt=""r8"">1123711002102</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-21T21:42:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,-1569858379,06-21-2017,16:42:23,9:42:23 PM,7,A180701_2T.wav,The CHILDREN DROPPED the BAG,2Talker,TypeSPINProc,StimList,{SHIFT}The{SPACE}children{SPACE}drop{SPACE}his{SPACE}bag{ESCAPE},12183,205643,1,1,7
SPIN,2012,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-21T21:42:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923125</Frequency><Timestamp dt:dt=""r8"">1123711002102</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-21T21:42:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,-1569858379,06-21-2017,16:42:23,9:42:23 PM,8,A181510_1T.wav,The RAINCOAT is HANGING UP.  ,1T,TypeSPINProc,StimList,{SHIFT}The{SPACE}raincoat{SPACE}is{ESCAPE},8063,214602,58,1,8
SPIN,2012,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-21T21:42:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923125</Frequency><Timestamp dt:dt=""r8"">1123711002102</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-21T21:42:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,-1569858379,06-21-2017,16:42:23,9:42:23 PM,9,A181504_1T.wav,The SHOP CLOSED for LUNCH.   ,1T,TypeSPINProc,StimList,the{SPACE}goal{SPACE}post{ESCAPE},9777,225074,52,1,9
SPIN,2012,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-21T21:42:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923125</Frequency><Timestamp dt:dt=""r8"">1123711002102</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-21T21:42:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,-1569858379,06-21-2017,16:42:23,9:42:23 PM,10,A180706_2T.wav,MOTHER GOT a SAUCEPAN.,2Talker,TypeSPINProc,StimList,{SHIFT}The{SPACE}parents{ESCAPE},9325,235449,6,1,10
