ExperimentName,Subject,Session,Clock.Information,Display.RefreshRate,Group,RandomSeed,SessionDate,SessionTime,SessionTimeUtc,Block,Filename,FileText,Noise,Procedure,Running,Slide1.RESP,Slide1.RT,Slide1.RTTime,StimList,StimList.Cycle,StimList.Sample
SPIN,2013,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-07-13T20:08:32Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">320386623466</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-07-13T20:08:32Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1735357761,07-13-2017,15:08:32,8:08:32 PM,1,A181512_1T.wav,The DAUGHTER SET the TABLE.   ,1T,TypeSPINProc,StimList,daughter{SPACE}said{SPACE}rain{SPACE}fall{ESCAPE},21873,98961,60,1,1
SPIN,2013,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-07-13T20:08:32Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">320386623466</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-07-13T20:08:32Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1735357761,07-13-2017,15:08:32,8:08:32 PM,2,A180713_2T.wav,The GIRL has a PICTURE BOOK.   ,2Talker,TypeSPINProc,StimList,the{SPACE}girl{SPACE}has{SPACE}a{SPACE}{LEFTBRACKET}picture{ESCAPE},17437,119024,13,1,2
SPIN,2013,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-07-13T20:08:32Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">320386623466</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-07-13T20:08:32Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1735357761,07-13-2017,15:08:32,8:08:32 PM,3,A180708_2T.wav,The YOUNG PEOPLE are DANCING.,2Talker,TypeSPINProc,StimList,the{SPACE}young{SPACE}peple{ESCAPE},13692,135111,8,1,3
SPIN,2013,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-07-13T20:08:32Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">320386623466</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-07-13T20:08:32Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1735357761,07-13-2017,15:08:32,8:08:32 PM,4,A180908_8T.wav,HE LISTENED TO his FATHER.   ,SSN,TypeSPINProc,StimList,you{SPACE}listen{SPACE}to{SPACE}this{SPACE}following{ESCAPE},20200,161517,24,1,4
SPIN,2013,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-07-13T20:08:32Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">320386623466</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-07-13T20:08:32Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1735357761,07-13-2017,15:08:32,8:08:32 PM,5,A180905_8T.wav,The TABLE has THREE LEGS.   ,SSN,TypeSPINProc,StimList,the{SPACE}table{SPACE}has{SPACE}three{SPACE}legs{ESCAPE},9395,172261,21,1,5
SPIN,2013,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-07-13T20:08:32Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">320386623466</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-07-13T20:08:32Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1735357761,07-13-2017,15:08:32,8:08:32 PM,6,A181516_1T.wav,The PUPPY PLAYS with a BALL.   ,1T,TypeSPINProc,StimList,the{SPACE}wall{SPACE}player{SPACE}has{SPACE}the{SPACE}ball{ESCAPE},44445,217810,64,1,6
SPIN,2013,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-07-13T20:08:32Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">320386623466</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-07-13T20:08:32Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1735357761,07-13-2017,15:08:32,8:08:32 PM,7,A180714_2T.wav,The ORANGE was VERY SWEET.   ,2Talker,TypeSPINProc,StimList,the{SPACE}oranges{SPACE}are{SPACE}very{SPACE}sweet{ESCAPE},13973,232769,14,1,7
SPIN,2013,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-07-13T20:08:32Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">320386623466</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-07-13T20:08:32Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1735357761,07-13-2017,15:08:32,8:08:32 PM,8,A181510_1T.wav,The RAINCOAT is HANGING UP.  ,1T,TypeSPINProc,StimList,the{SPACE}raincoat{SPACE}is{SPACE}hanging{SPACE}up{ESCAPE},15577,255671,58,1,8
SPIN,2013,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-07-13T20:08:32Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">320386623466</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-07-13T20:08:32Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1735357761,07-13-2017,15:08:32,8:08:32 PM,9,A180711_2T.wav,The BALL is BOUNCING very HIGH.   ,2Talker,TypeSPINProc,StimList,the{SPACE}ball{SPACE}is{SPACE}ticking{ESCAPE},21500,278110,11,1,9
SPIN,2013,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-07-13T20:08:32Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">320386623466</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-07-13T20:08:32Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1735357761,07-13-2017,15:08:32,8:08:32 PM,10,A180707_2T.wav,THEY WASHED in COLD WATER.   ,2Talker,TypeSPINProc,StimList,the{SPACE}{SHIFT}Feburary{SPACE}has{SPACE}twenty{-}eight{SPACE}days{ESCAPE},42324,340298,7,1,10
