aaa,Subject,Block,Filename,,,,,,,,,FileText,Noise,,,Slide1.RESP
,1012,2,A180916_8T.wav,,,,,,,,,The CAR HIT a WALL.   ,SSN,,,the car hit the wall{ESCAPE}
,1012,56,A181001_SSN.wav,,,,,,,,,A DISH TOWEL is by the SINK.   ,SSN,,,The dish towel was by the sink{.}{ESCAPE}
,1012,20,A181002_SSN.wav,,,,,,,,,The JANITOR USED a BROOM.   ,SSN,,,The janitor used a broom{.}{ESCAPE}
,1012,58,A181003_SSN.wav,,,,,,,,,THEY SAT on a WOODEN BENCH.   ,SSN,,,X{ESCAPE}
,1012,52,A181004_SSN.wav,,,,,,,,,The GOOD BOY is HELPING.   ,SSN,,,The good boy is helping{.}{ESCAPE}
,1012,49,A181005_SSN.wav,,,,,,,,,THEY FOLLOWED the PATH.   ,SSN,,,They followed the path{.}{ESCAPE}
,1012,22,A181006_SSN.wav,,,,,,,,,The KITCHEN CLOCK was WRONG.   ,SSN,,,The pigeon clock is wrong{.}{ESCAPE}
,1012,50,A181007_SSN.wav,,,,,,,,,The DOG JUMPED ON the CHAIR.   ,SSN,,,The dog jumped on the chair{.}{ESCAPE}
,1012,15,A181008_SSN.wav,,,,,,,,,SOMEONE is CROSSING the ROAD.   ,SSN,,,Someone{'}s crossing the road{.}{ESCAPE}
,1012,13,A181009_SSN.wav,,,,,,,,,The MAILMAN BROUGHT a LETTER.   ,SSN,,,The mailman is unlucky{.}{ESCAPE}
,1012,37,A181010_SSN.wav,,,,,,,,,THEY are RIDING their BICYCLES.   ,SSN,,,They are riding the bicycles{.}{ESCAPE}
,1012,33,A181011_SSN.wav,,,,,,,,,HE BROKE his LEG.   ,SSN,,,X{ESCAPE}
,1012,59,A181012_SSN.wav,,,,,,,,,The MILK was by the FRONT DOOR.   ,SSN,,,The milk was by the front door{.}{ESCAPE}
,1012,28,A181013_SSN.wav,,,,,,,,,The SHIRTS are HANGING in the CLOSET.   ,SSN,,,The shirts are hanging in the closet{.}{ESCAPE}
,1012,26,A181014_SSN.wav,,,,,,,,,The GROUND was VERY HARD.   ,SSN,,,The ground is very hard{.}{ESCAPE}
,1012,16,A181015_SSN.wav,,,,,,,,,The BUCKETS HOLD WATER.   ,SSN,,,The buckets are walking{ESCAPE}
,1012,61,A181016_SSN.wav,,,,,,,,,The CHICKEN LAID some EGGS.   ,SSN,,,The chicken laid some eggs{.}{ESCAPE}
