ExperimentName,Subject,Session,Clock.Information,Display.RefreshRate,Group,RandomSeed,SessionDate,SessionTime,SessionTimeUtc,Block,Filename,FileText,Noise,Procedure,Running,Slide1.RESP,Slide1.RT,Slide1.RTTime,StimList,StimList.Cycle,StimList.Sample
SPIN,1008,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-09-06T21:59:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">6578116233994</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-09-06T21:59:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1773082725,09-06-2017,16:59:56,9:59:56 PM,1,A181008_SSN.wav,SOMEONE is CROSSING the ROAD.   ,SSN,TypeSPINProc,StimList,someone{SPACE}is{SPACE}crossing{SPACE}the{SPACE}road{.}{ESCAPE},12296,97684,40,1,1
SPIN,1008,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-09-06T21:59:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">6578116233994</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-09-06T21:59:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1773082725,09-06-2017,16:59:56,9:59:56 PM,2,A181004_SSN.wav,The GOOD BOY is HELPING.   ,SSN,TypeSPINProc,StimList,the{SPACE}good{SPACE}boy{SPACE}is{SPACE}helping{ESCAPE},6185,105372,36,1,2
SPIN,1008,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-09-06T21:59:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">6578116233994</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-09-06T21:59:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1773082725,09-06-2017,16:59:56,9:59:56 PM,3,A181507_1T.wav,Some NICE PEOPLE are COMING.   ,1T,TypeSPINProc,StimList,some{SPACE}nice{SPACE}people{SPACE}are{SPACE}coming{ESCAPE},6554,112940,55,1,3
SPIN,1008,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-09-06T21:59:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">6578116233994</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-09-06T21:59:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1773082725,09-06-2017,16:59:56,9:59:56 PM,4,A180911_8T.wav,The BABY BROKE his CUP.   ,8Talker,TypeSPINProc,StimList,x{ESCAPE},4858,119027,27,1,4
SPIN,1008,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-09-06T21:59:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">6578116233994</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-09-06T21:59:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1773082725,09-06-2017,16:59:56,9:59:56 PM,5,A181515_1T.wav,The TRAIN STOPS at the STATION.   ,1T,TypeSPINProc,StimList,the{SPACE}train{SPACE}stops{SPACE}at{SPACE}the{SPACE}station{.}{ESCAPE},7345,127347,63,1,5
SPIN,1008,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-09-06T21:59:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">6578116233994</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-09-06T21:59:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1773082725,09-06-2017,16:59:56,9:59:56 PM,6,A181002_SSN.wav,The JANITOR USED a BROOM.   ,SSN,TypeSPINProc,StimList,the{SPACE}janitor{SPACE}used{SPACE}a{SPACE}broom{.}{ESCAPE},7268,135370,34,1,6
SPIN,1008,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-09-06T21:59:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">6578116233994</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-09-06T21:59:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1773082725,09-06-2017,16:59:56,9:59:56 PM,7,A180715_2T.wav,HE is HOLDING his NOSE.   ,2Talker,TypeSPINProc,StimList,{SHIFT}People{ESCAPE},5584,141818,15,1,7
SPIN,1008,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-09-06T21:59:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">6578116233994</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-09-06T21:59:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1773082725,09-06-2017,16:59:56,9:59:56 PM,8,A181516_1T.wav,The PUPPY PLAYS with a BALL.   ,1T,TypeSPINProc,StimList,the{SPACE}puppy{SPACE}plays{SPACE}with{SPACE}the{SPACE}ball{.}{ESCAPE},6775,149209,64,1,8
SPIN,1008,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-09-06T21:59:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">6578116233994</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-09-06T21:59:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1773082725,09-06-2017,16:59:56,9:59:56 PM,9,A180709_2T.wav,The BUS LEFT EARLY.   ,2Talker,TypeSPINProc,StimList,{SHIFT}The{SPACE}bus{SPACE}left{SPACE}early{.}{ESCAPE},8185,158169,9,1,9
SPIN,1008,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-09-06T21:59:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923105</Frequency><Timestamp dt:dt=""r8"">6578116233994</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-09-06T21:59:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1773082725,09-06-2017,16:59:56,9:59:56 PM,10,A181011_SSN.wav,HE BROKE his LEG.   ,SSN,TypeSPINProc,StimList,{SHIFT}the{SPACE}boot{SPACE}is{SPACE}lead{ESCAPE},11112,169928,43,1,10
