ExperimentName,Subject,Session,Clock.Information,Display.RefreshRate,Group,RandomSeed,SessionDate,SessionTime,SessionTimeUtc,Block,Filename,FileText,Noise,Procedure,Running,Slide1.RESP,Slide1.RT,Slide1.RTTime,StimList,StimList.Cycle,StimList.Sample
SPIN,2003,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T18:32:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923095</Frequency><Timestamp dt:dt=""r8"">15953492135</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T18:32:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1225805330,06-26-2017,13:32:02,6:32:02 PM,1,A180707_2T.wav,THEY WASHED in COLD WATER.   ,2Talker,TypeSPINProc,StimList,water{SPACE}twenty{-}eight{ENTER}{ESCAPE},20418,73207,7,1,1
SPIN,2003,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T18:32:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923095</Frequency><Timestamp dt:dt=""r8"">15953492135</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T18:32:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1225805330,06-26-2017,13:32:02,6:32:02 PM,2,A180903_8T.wav,THEY are CLIMBING the TREE.   ,8Talker,TypeSPINProc,StimList,climate{SPACE}cloud{SPACE}loud{SPACE}{ENTER}{ESCAPE},9289,84110,19,1,2
SPIN,2003,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T18:32:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923095</Frequency><Timestamp dt:dt=""r8"">15953492135</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T18:32:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1225805330,06-26-2017,13:32:02,6:32:02 PM,3,A180705_2T.wav,The FRUIT IS on the GROUND.   ,2Talker,TypeSPINProc,StimList,just{SPACE}on{SPACE}the{SPACE}ground{SPACE}{SHIFT}Feb{SPACE}{ESCAPE},18274,103261,5,1,3
SPIN,2003,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T18:32:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923095</Frequency><Timestamp dt:dt=""r8"">15953492135</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T18:32:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1225805330,06-26-2017,13:32:02,6:32:02 PM,4,A181514_1T.wav,MOTHER TIED the STRING.   ,1T,TypeSPINProc,StimList,scars{SPACE}my{SPACE}parents{SPACE}said{SPACE}{ENTER}{ESCAPE},16325,120428,62,1,4
SPIN,2003,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T18:32:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923095</Frequency><Timestamp dt:dt=""r8"">15953492135</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T18:32:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1225805330,06-26-2017,13:32:02,6:32:02 PM,5,A181515_1T.wav,The TRAIN STOPS at the STATION.   ,1T,TypeSPINProc,StimList,the{SPACE}train{SPACE}stops{SPACE}at{SPACE}the{SPACE}station{ESCAPE},16699,137883,63,1,5
SPIN,2003,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T18:32:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923095</Frequency><Timestamp dt:dt=""r8"">15953492135</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T18:32:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1225805330,06-26-2017,13:32:02,6:32:02 PM,6,A180710_2T.wav,THEY had TWO EMPTY BOTTLES.   ,2Talker,TypeSPINProc,StimList,they{SPACE}had{SPACE}two{SPACE}ashes{SPACE}{ESCAPE},8509,148242,10,1,6
SPIN,2003,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T18:32:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923095</Frequency><Timestamp dt:dt=""r8"">15953492135</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T18:32:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1225805330,06-26-2017,13:32:02,6:32:02 PM,7,A180716_2T.wav,The NEW ROAD is on the MAP.   ,2Talker,TypeSPINProc,StimList,you{SPACE}road{SPACE}they{SPACE}are{SPACE}not{ESCAPE},15145,163945,16,1,7
SPIN,2003,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T18:32:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923095</Frequency><Timestamp dt:dt=""r8"">15953492135</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T18:32:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1225805330,06-26-2017,13:32:02,6:32:02 PM,8,A181501_1T.wav,A MAN is TURNING the FAUCET.   ,1T,TypeSPINProc,StimList,birds{SPACE}do{SPACE}not{SPACE}forest{ESCAPE},23397,189312,49,1,8
SPIN,2003,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T18:32:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923095</Frequency><Timestamp dt:dt=""r8"">15953492135</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T18:32:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1225805330,06-26-2017,13:32:02,6:32:02 PM,9,A180701_2T.wav,The CHILDREN DROPPED the BAG,2Talker,TypeSPINProc,StimList,the{SPACE}children{SPACE}drop{SPACE}the{SPACE}bag{ESCAPE},11944,202591,1,1,9
SPIN,2003,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T18:32:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923095</Frequency><Timestamp dt:dt=""r8"">15953492135</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T18:32:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.004,1,-1225805330,06-26-2017,13:32:02,6:32:02 PM,10,A181015_SSN.wav,The BUCKETS HOLD WATER.   ,SSN,TypeSPINProc,StimList,bugdets{ESCAPE},12449,219062,47,1,10
